Business,Category,Wholesale Sales,Avg Wholesale Price,Avg Retail Price With Tax,Avg Markup With Tax,License
Fc Processor-3        [ÿproductÿdetailsÿ],Flower 1.0g,3253,1.7,5.95,3.5x,413952
Rootworx        [ÿproductÿdetailsÿ],Preroll 0.5g,4008,1.71,4.8,2.8x,413665
Quantum Capital Advisors        [ÿproductÿdetailsÿ],Flower 1.0g,3538,1.71,6.48,3.8x,413156
Happy Hill Farms        [ÿproductÿdetailsÿ],Preroll 1.0g,6968,1.74,4.91,2.8x,416800
D And S Farms        [ÿproductÿdetailsÿ],Flower 1.0g,18652,1.74,6.15,3.5x,412831
Quality Cannabis Producing And Processing        [ÿproductÿdetailsÿ],Flower 1.0g,3230,1.75,5.68,3.2x,412130
Alis Group        [ÿproductÿdetailsÿ],Preroll 1.0g,15124,1.76,4.91,2.8x,415700
Central Business District        [ÿproductÿdetailsÿ],Preroll 1.0g,2544,1.76,5.07,2.9x,417097
Yield Farms        [ÿproductÿdetailsÿ],Preroll 1.0g,8721,1.77,5.16,2.9x,412337
Quincy Green        [ÿproductÿdetailsÿ],Preroll 1.0g,5341,1.78,6.25,3.5x,412358
Top Shelf        [ÿproductÿdetailsÿ],Preroll 0.75g,6860,1.79,5.68,3.2x,423396
Doctor And Crook        [ÿproductÿdetailsÿ],Preroll 1.0g,15564,1.79,6.2,3.5x,416831
Blacksmith Farms        [ÿproductÿdetailsÿ],Flower 1.0g,2003,1.79,5.6,3.1x,413622
Windy River Research        [ÿproductÿdetailsÿ],Preroll 0.5g,4841,1.8,6.12,3.4x,413467
Oberfelder Holdings        [ÿproductÿdetailsÿ],Preroll 1.0g,10951,1.8,4.82,2.7x,412286
Pdt Technologies        [ÿproductÿdetailsÿ],Flower 1.0g,2090,1.8,6.87,3.8x,415707
Khush Kush        [ÿproductÿdetailsÿ],Preroll 0.5g,6220,1.81,4.86,2.7x,413145
Tumbleweed Farm        [ÿproductÿdetailsÿ],Flower 1.0g,1465,1.81,6.26,3.5x,412084
Fourdub        [ÿproductÿdetailsÿ],Preroll 1.0g,4145,1.82,6.05,3.3x,413165
Central Business District        [ÿproductÿdetailsÿ],Flower 1.0g,1276,1.83,5.56,3.0x,417097
Circanna        [ÿproductÿdetailsÿ],Edible,19033,1.83,4.96,2.7x,413174
Mountain High Organics        [ÿproductÿdetailsÿ],Preroll 1.0g,4342,1.84,6.66,3.6x,412576
Eco Ventures        [ÿproductÿdetailsÿ],Preroll 1.0g,1900,1.85,5.59,3.0x,416853
Herban Myth        [ÿproductÿdetailsÿ],Flower 1.0g,4451,1.85,4.9,2.7x,412123
Medusa Gardens        [ÿproductÿdetailsÿ],Flower 1.0g,4878,1.85,5.63,3.0x,412294
Okanogan Gold        [ÿproductÿdetailsÿ],Flower 1.0g,2301,1.85,6.83,3.7x,423115
Pingston Creek Botanical        [ÿproductÿdetailsÿ],Preroll 1.0g,2758,1.86,7.44,4.0x,412826
Silica Phoenix        [ÿproductÿdetailsÿ],Preroll 1.0g,1068,1.87,5.38,2.9x,412236
Kouchlock Productions        [ÿproductÿdetailsÿ],Preroll 1.0g,3858,1.87,5.23,2.8x,412630
Fc Processor-3        [ÿproductÿdetailsÿ],Preroll 1.0g,1432,1.87,5.51,3.0x,413952
Emerald Evolution        [ÿproductÿdetailsÿ],Preroll 1.0g,1648,1.88,5.96,3.2x,412392
Caldwell Cannabis        [ÿproductÿdetailsÿ],Flower 2.0g,1140,1.9,5.85,3.1x,417087
