Business,Category,Wholesale Sales,Avg Wholesale Price,Avg Retail Price With Tax,Avg Markup With Tax,License
Honu Enterprises        [ÿproductÿdetailsÿ],Preroll 1.25g,1312,1.95,5.62,2.9x,412097
Honu Enterprises        [ÿproductÿdetailsÿ],Preroll 1.0g,16278,1.96,6.49,3.3x,412097
Rolling Farms        [ÿproductÿdetailsÿ],Preroll 1.0g,23741,1.96,6.74,3.4x,416113
Naked Emperor        [ÿproductÿdetailsÿ],Flower 1.0g,1756,1.96,5.78,2.9x,416231
Canna Organix        [ÿproductÿdetailsÿ],Preroll 0.5g,3928,1.97,5.62,2.8x,415835
5th House Farms        [ÿproductÿdetailsÿ],Preroll 1.0g,3043,1.97,8.1,4.1x,416057
Anchor Bakery        [ÿproductÿdetailsÿ],Infused,2405,1.97,6.75,3.4x,415961
Best Source Producers        [ÿproductÿdetailsÿ],Flower 1.0g,10223,1.98,7.35,3.7x,413613
Dogtown Pioneers        [ÿproductÿdetailsÿ],Flower 1.0g,9659,1.98,6.16,3.1x,416538
Botanica Seattle        [ÿproductÿdetailsÿ],Preroll 1.0g,14701,1.99,6.2,3.1x,412723
Premium Cannabis Producers LLC        [ÿproductÿdetailsÿ],Preroll 0.5g,2900,2,5.94,3.0x,417051
Tropic Grow        [ÿproductÿdetailsÿ],Preroll 0.75g,2724,2,6.34,3.2x,412106
Northwest Cannabis Solutions        [ÿproductÿdetailsÿ],Preroll 0.75g,1190,2,6.13,3.1x,412882
4evergreen Trees        [ÿproductÿdetailsÿ],Preroll 0.75g,2100,2,5.7,2.9x,413855
Sticky Budz        [ÿproductÿdetailsÿ],Preroll 1.0g,2100,2,5.44,2.7x,412076
Saturn Group        [ÿproductÿdetailsÿ],Preroll 1.0g,33184,2,6.29,3.1x,412112
"M-r Wholesale, LLC        [ÿproductÿdetailsÿ]",Preroll 1.0g,2820,2,6.23,3.1x,412634
Inland Empire Growing        [ÿproductÿdetailsÿ],Preroll 1.0g,10560,2,6.85,3.4x,412760
Nettles Unlimited        [ÿproductÿdetailsÿ],Preroll 1.0g,7600,2,5.92,3.0x,412762
Northwest Cannabis Solutions        [ÿproductÿdetailsÿ],Preroll 1.0g,2270,2,6.4,3.2x,412882
Conscious Family Farms        [ÿproductÿdetailsÿ],Preroll 1.0g,1306,2,5.84,2.9x,413431
Jbc Grow        [ÿproductÿdetailsÿ],Preroll 1.0g,4972,2,6.88,3.4x,413631
Fresh Kind Farms        [ÿproductÿdetailsÿ],Preroll 1.0g,5620,2,5.73,2.9x,416039
420 Natural        [ÿproductÿdetailsÿ],Preroll 1.0g,2046,2,7.25,3.6x,416426
High Five Farms        [ÿproductÿdetailsÿ],Preroll 1.0g,1990,2,7.32,3.7x,416746
Lm Digital        [ÿproductÿdetailsÿ],Preroll 1.0g,3576,2,7.28,3.6x,417214
Landrace        [ÿproductÿdetailsÿ],Preroll 1.0g,1800,2,6.16,3.1x,419395
Green Haven LLC        [ÿproductÿdetailsÿ],Preroll 1.0g,2050,2,5.63,2.8x,421941
Northwest Recreational        [ÿproductÿdetailsÿ],Preroll 1.25g,1000,2,5.98,3.0x,412612
Kouchlock Productions        [ÿproductÿdetailsÿ],Preroll 2.0g,4000,2,5.88,2.9x,412630
Winterlife        [ÿproductÿdetailsÿ],Flower 1.0g,1142,2,5.76,2.9x,412808
The Four Twenty Collection        [ÿproductÿdetailsÿ],Flower 1.0g,2680,2,5.68,2.8x,413134
Essential Flower        [ÿproductÿdetailsÿ],Flower 1.0g,2930,2,6.53,3.3x,414233
Capital Green        [ÿproductÿdetailsÿ],Flower 1.0g,3003,2,8.69,4.4x,416196
High State Farms        [ÿproductÿdetailsÿ],Flower 1.0g,3648,2.03,7.45,3.7x,412573
Sugarleaf Farm        [ÿproductÿdetailsÿ],Preroll 1.0g,7679,2.04,6.62,3.2x,423406
Monkey Grass Farms        [ÿproductÿdetailsÿ],Flower 1.0g,3205,2.04,6.59,3.2x,412618
Bmf Washington        [ÿproductÿdetailsÿ],Preroll 1.0g,19682,2.05,6.64,3.2x,412149
Cowlitz County Cannabis Cultivation        [ÿproductÿdetailsÿ],Flower 1.0g,47243,2.05,7.17,3.5x,416502
W.o.w. Industries        [ÿproductÿdetailsÿ],Preroll 1.0g,3339,2.06,6.09,3.0x,413922
Walden Cannabis        [ÿproductÿdetailsÿ],Flower 1.0g,14776,2.06,7.41,3.6x,412024
Boggy Boon        [ÿproductÿdetailsÿ],Preroll 1.0g,8871,2.07,7.35,3.5x,416935
Grow Op Farms        [ÿproductÿdetailsÿ],Preroll 1.0g,418204,2.08,6.14,2.9x,413287
Central Farms LLC        [ÿproductÿdetailsÿ],Flower 1.0g,14270,2.09,7.12,3.4x,412792
Top Shelf        [ÿproductÿdetailsÿ],Preroll 1.0g,60205,2.11,7.04,3.3x,423396
Silica Phoenix        [ÿproductÿdetailsÿ],Flower 1.0g,9674,2.11,7.37,3.5x,412236
Mother's Other Garden        [ÿproductÿdetailsÿ],Flower 1.0g,1325,2.11,5.76,2.7x,417320
O.b.c. LLC        [ÿproductÿdetailsÿ],Preroll 1.0g,2773,2.12,7.11,3.4x,416544
