Business,Category,Wholesale Sales,Avg Wholesale Price,Avg Retail Price With Tax,Avg Markup With Tax,License
Origens        [ÿproductÿdetailsÿ],Preroll 1.0g,2195,2.19,6.9,3.1x,412891
Viva Cannabis        [ÿproductÿdetailsÿ],Flower 1.0g,21654,2.2,7.65,3.5x,416609
Quincy Green        [ÿproductÿdetailsÿ],Preroll 1.0g,2501,2.23,6.45,2.9x,412358
Weed Snobs        [ÿproductÿdetailsÿ],Preroll 1.0g,4028,2.23,6.84,3.1x,412711
Walden Cannabis        [ÿproductÿdetailsÿ],Flower 1.0g,19231,2.24,8.61,3.8x,412024
Island Gro        [ÿproductÿdetailsÿ],Flower 1.0g,1529,2.24,9.72,4.3x,416656
Cedar Creek Cannabis        [ÿproductÿdetailsÿ],Preroll 0.5g,5454,2.25,7.79,3.5x,415971
Royal Tree Gardens        [ÿproductÿdetailsÿ],Preroll 0.75g,10422,2.25,7.24,3.2x,412425
Avitas        [ÿproductÿdetailsÿ],Preroll 0.75g,1329,2.25,6.66,3.0x,412759
Omg Sykes        [ÿproductÿdetailsÿ],Preroll 1.0g,25402,2.25,6.64,2.9x,412720
Cordus        [ÿproductÿdetailsÿ],Preroll 1.0g,10665,2.25,7.85,3.5x,418921
Cascade Growers        [ÿproductÿdetailsÿ],Flower 1.0g,1080,2.25,7.16,3.2x,412180
Manastash Gardens        [ÿproductÿdetailsÿ],Flower 1.0g,8970,2.25,6.79,3.0x,413123
Medusa Gardens        [ÿproductÿdetailsÿ],Preroll 0.75g,1924,2.27,3.89,1.7x,412294
Leef        [ÿproductÿdetailsÿ],Preroll 1.0g,1788,2.27,8.06,3.5x,413085
Green Acre Pharms        [ÿproductÿdetailsÿ],Preroll 1.0g,17528,2.27,6.88,3.0x,413099
Sasquatch Greenhouses        [ÿproductÿdetailsÿ],Flower 1.0g,1116,2.3,7.07,3.1x,412208
Kush Farms        [ÿproductÿdetailsÿ],Flower 1.0g,32557,2.3,7.17,3.1x,414287
New Horizon Holdings        [ÿproductÿdetailsÿ],Flower 1.0g,3441,2.3,7.96,3.5x,415752
G-7 Grow        [ÿproductÿdetailsÿ],Flower 1.0g,11442,2.31,6.89,3.0x,417526
Thcbd        [ÿproductÿdetailsÿ],Preroll 1.0g,1575,2.32,6.7,2.9x,413131
Northwest Grown Products        [ÿproductÿdetailsÿ],Preroll 1.0g,9891,2.33,7.97,3.4x,416462
Quality Brand        [ÿproductÿdetailsÿ],Flower 1.0g,33843,2.33,7.47,3.2x,417229
Binx Buds        [ÿproductÿdetailsÿ],Preroll 1.0g,4595,2.34,7.37,3.2x,425099
Monkey Grass Farms        [ÿproductÿdetailsÿ],Flower 1.0g,9961,2.34,7.86,3.4x,412618
Shelby Eckroth        [ÿproductÿdetailsÿ],Flower 1.0g,3824,2.34,6.28,2.7x,416968
Washington State Sweet Leaf Gardens        [ÿproductÿdetailsÿ],Flower 1.0g,1231,2.35,9.3,4.0x,413455
Pinoy Inc        [ÿproductÿdetailsÿ],Preroll 2.0g,1157,2.36,9.16,3.9x,424047
Curious Crow Cannabis        [ÿproductÿdetailsÿ],Flower 1.0g,8370,2.36,7.96,3.4x,416657
Mas Farms        [ÿproductÿdetailsÿ],Preroll 1.0g,2102,2.39,7.97,3.3x,414232
Walden        [ÿproductÿdetailsÿ],Flower 1.0g,7776,2.39,8.43,3.5x,416445
Green Haven LLC        [ÿproductÿdetailsÿ],Preroll 1.0g,2638,2.4,6.38,2.7x,421941
Cloud 9 Farms        [ÿproductÿdetailsÿ],Preroll 1.0g,1820,2.42,7.65,3.2x,412704
Klaritie Farms        [ÿproductÿdetailsÿ],Preroll 1.0g,2920,2.42,8.41,3.5x,419959
Northwest Harvesting Co        [ÿproductÿdetailsÿ],Flower 1.0g,2142,2.42,6.99,2.9x,412435
Pacific Glo        [ÿproductÿdetailsÿ],Flower 1.0g,6630,2.42,7.9,3.3x,422928
Golden Tree        [ÿproductÿdetailsÿ],Preroll 1.0g,25803,2.43,7.54,3.1x,416107
The Plant Factory        [ÿproductÿdetailsÿ],Flower 1.0g,4099,2.43,7.91,3.3x,416827
Weed Snobs        [ÿproductÿdetailsÿ],Flower 1.0g,1002,2.44,7.29,3.0x,412711
Northwest Harvesting Co        [ÿproductÿdetailsÿ],Preroll 1.0g,5324,2.46,5.4,2.2x,412435
Botanica Seattle        [ÿproductÿdetailsÿ],Preroll 1.0g,4450,2.46,7.12,2.9x,412723
Dandelion Farms        [ÿproductÿdetailsÿ],Preroll 1.0g,1970,2.47,7.77,3.1x,417155
Botanica Seattle        [ÿproductÿdetailsÿ],Preroll 1.25g,1440,2.47,7.04,2.8x,412723
M And R Distributing        [ÿproductÿdetailsÿ],Preroll 1.0g,5810,2.49,7.2,2.9x,412258
Sky High Gardens        [ÿproductÿdetailsÿ],Preroll 0.5g,9930,2.5,7.47,3.0x,424091
Articulated Solutions        [ÿproductÿdetailsÿ],Preroll 0.75g,1550,2.5,7.74,3.1x,416586
Bulldog Weed        [ÿproductÿdetailsÿ],Preroll 1.0g,2688,2.5,7.08,2.8x,412050
Wow Weed        [ÿproductÿdetailsÿ],Preroll 1.0g,3000,2.5,9.75,3.9x,413038
Double Dutch        [ÿproductÿdetailsÿ],Preroll 1.0g,4315,2.5,7.38,3.0x,413084
Solar Joes        [ÿproductÿdetailsÿ],Preroll 1.0g,6142,2.5,7.65,3.1x,415819
High Five Farms        [ÿproductÿdetailsÿ],Preroll 1.0g,1315,2.5,7.95,3.2x,416746
Fire Four LLC        [ÿproductÿdetailsÿ],Preroll 1.0g,1275,2.5,7.4,3.0x,416795
Cloudy Farms        [ÿproductÿdetailsÿ],Preroll 1.0g,1875,2.5,8.06,3.2x,417349
Fire House Productions        [ÿproductÿdetailsÿ],Preroll 1.0g,2375,2.5,9.75,3.9x,421103
Washington Gold        [ÿproductÿdetailsÿ],Flower 1.0g,1000,2.5,5.06,2.0x,412213
Methow Growers        [ÿproductÿdetailsÿ],Flower 1.0g,2650,2.5,9.2,3.7x,412875
O.b.c. LLC        [ÿproductÿdetailsÿ],Flower 1.0g,2710,2.5,9.07,3.6x,416544
Wow Weed        [ÿproductÿdetailsÿ],Infused,1312,2.5,9.87,3.9x,413038
"Pacala,  Inc        [ÿproductÿdetailsÿ]",Infused,1238,2.5,8.59,3.4x,415970
G&s Greenery        [ÿproductÿdetailsÿ],Preroll 1.0g,5404,2.52,8.76,3.5x,415986
Edgemont Group        [ÿproductÿdetailsÿ],Preroll 1.0g,10261,2.53,8.1,3.2x,422993
Honu Enterprises        [ÿproductÿdetailsÿ],Flower 1.0g,4840,2.53,9.14,3.6x,412097
Rochester Farms        [ÿproductÿdetailsÿ],Preroll 1.0g,3925,2.54,8.42,3.3x,413002
Okanogan High Country Products        [ÿproductÿdetailsÿ],Flower 1.0g,1367,2.55,9.92,3.9x,412540
W.o.w. Industries        [ÿproductÿdetailsÿ],Flower 1.0g,2012,2.57,6.64,2.6x,413922
Rainier Acres        [ÿproductÿdetailsÿ],Preroll 1.0g,6188,2.58,8.45,3.3x,416942
Cordus        [ÿproductÿdetailsÿ],Flower 1.0g,8796,2.58,9.36,3.6x,418921
Premium Cannabis Producers LLC        [ÿproductÿdetailsÿ],Preroll 0.75g,1248,2.6,7.41,2.9x,417051
Orgrow        [ÿproductÿdetailsÿ],Flower 1.0g,18705,2.6,8.16,3.1x,412784
Sitka Packaging        [ÿproductÿdetailsÿ],Flower 1.0g,6290,2.6,7.53,2.9x,412952
Twenty Plus        [ÿproductÿdetailsÿ],Flower 1.0g,12592,2.6,8.75,3.4x,413088
Ladera Farms        [ÿproductÿdetailsÿ],Flower 1.0g,6932,2.6,8.67,3.3x,417301
Happy Trailz        [ÿproductÿdetailsÿ],Preroll 1.0g,1132,2.61,8.61,3.3x,416744
High State Farms        [ÿproductÿdetailsÿ],Flower 1.0g,2778,2.62,9.06,3.5x,412573
Super Natural        [ÿproductÿdetailsÿ],Flower 1.0g,1318,2.62,8.8,3.4x,414146
The High Road        [ÿproductÿdetailsÿ],Preroll 1.0g,6145,2.63,7.83,3.0x,415739
Double Delicious        [ÿproductÿdetailsÿ],Preroll 1.0g,5158,2.65,8,3.0x,414462
Hash Way Recreational        [ÿproductÿdetailsÿ],Preroll 1.0g,4571,2.65,8.24,3.1x,421873
Quincy Green        [ÿproductÿdetailsÿ],Flower 1.0g,2498,2.65,8.53,3.2x,412358
Emerald Evolution        [ÿproductÿdetailsÿ],Preroll 0.75g,4242,2.69,7.35,2.7x,412392
Natural Mystic Farms        [ÿproductÿdetailsÿ],Flower 1.0g,5987,2.69,9.29,3.5x,412155
Hitz Cannabis        [ÿproductÿdetailsÿ],Flower 1.0g,1398,2.69,7.92,2.9x,412854
High Five Farms        [ÿproductÿdetailsÿ],Flower 1.0g,5748,2.7,8.02,3.0x,416746
Quincy Green        [ÿproductÿdetailsÿ],Infused,1638,2.7,9.49,3.5x,412358
Deepwater Botanicals        [ÿproductÿdetailsÿ],Preroll 1.0g,1576,2.71,9.36,3.5x,412154
Tucker Ranch        [ÿproductÿdetailsÿ],Preroll 1.0g,4090,2.71,7.64,2.8x,415922
The Lazy Bee Gardens        [ÿproductÿdetailsÿ],Flower 1.0g,9112,2.71,8.78,3.2x,412597
Prohibition Brands        [ÿproductÿdetailsÿ],Infused,97948,2.71,7.89,2.9x,414042
Ag Grow        [ÿproductÿdetailsÿ],Preroll 0.75g,8435,2.72,7.63,2.8x,412557
Eco Ventures        [ÿproductÿdetailsÿ],Preroll 1.0g,2920,2.72,8.94,3.3x,416853
Agrijuana        [ÿproductÿdetailsÿ],Flower 1.0g,41908,2.72,9.57,3.5x,415998
Sky Standard Gardens        [ÿproductÿdetailsÿ],Preroll 0.75g,1187,2.74,7.89,2.9x,415980
