Business,Category,Wholesale Sales,Avg Wholesale Price,Avg Retail Price With Tax,Avg Markup With Tax,License
Green Chiefs        [ÿproductÿdetailsÿ],Preroll 1.0g,2800,1.97,6.97,3.5x,412672
Cinc-o-dos        [ÿproductÿdetailsÿ],Flower 1.0g,1861,1.97,7.81,4.0x,412566
Sticky Budz        [ÿproductÿdetailsÿ],Preroll 1.0g,12421,1.98,6.75,3.4x,412076
Alis Group        [ÿproductÿdetailsÿ],Preroll 1.0g,8182,1.99,6.2,3.1x,415700
Bella Jane's        [ÿproductÿdetailsÿ],Preroll 1.0g,8985,1.99,6.59,3.3x,416762
Big Ridge Farms        [ÿproductÿdetailsÿ],Edible,11827,1.99,5.15,2.6x,413139
Canna Organix        [ÿproductÿdetailsÿ],Preroll 0.5g,4044,2,5.66,2.8x,415835
Hypothesis Gardens        [ÿproductÿdetailsÿ],Preroll 0.5g,7436,2,6.4,3.2x,416519
Eagle Tree Farms        [ÿproductÿdetailsÿ],Preroll 0.5g,1100,2,5.82,2.9x,422190
Tropic Grow        [ÿproductÿdetailsÿ],Preroll 0.75g,4542,2,6.15,3.1x,412106
Tom's Hemp&cannabis        [ÿproductÿdetailsÿ],Preroll 0.75g,2000,2,5.92,3.0x,412648
Northwest Cannabis Solutions        [ÿproductÿdetailsÿ],Preroll 0.75g,4450,2,5.95,3.0x,412882
Tucker Ranch        [ÿproductÿdetailsÿ],Preroll 0.75g,1592,2,5.57,2.8x,415922
Top Shelf        [ÿproductÿdetailsÿ],Preroll 0.75g,20172,2,6.48,3.2x,423396
Buddy Boy Farms        [ÿproductÿdetailsÿ],Preroll 1.0g,1700,2,9.3,4.6x,412053
Bondi Farms        [ÿproductÿdetailsÿ],Preroll 1.0g,37072,2,7.57,3.8x,412141
"M-r Wholesale, LLC        [ÿproductÿdetailsÿ]",Preroll 1.0g,1430,2,6.28,3.1x,412634
Conscious Family Farms        [ÿproductÿdetailsÿ],Preroll 1.0g,1886,2,5.88,2.9x,413431
Symington Holdings Ii        [ÿproductÿdetailsÿ],Preroll 1.0g,1340,2,6.45,3.2x,415777
Landrace        [ÿproductÿdetailsÿ],Preroll 1.0g,1050,2,6.08,3.0x,419395
Medusa Gardens        [ÿproductÿdetailsÿ],Preroll 1.5g,1452,2,6.8,3.4x,412294
Essential Flower        [ÿproductÿdetailsÿ],Flower 1.0g,4174,2,6.83,3.4x,414233
Golden Leaf        [ÿproductÿdetailsÿ],Flower 1.0g,13158,2,5.96,3.0x,416548
Venspark        [ÿproductÿdetailsÿ],Edible,5352,2,5.88,2.9x,417326
Saturn Group        [ÿproductÿdetailsÿ],Preroll 1.0g,18878,2.01,5.97,3.0x,412112
Inland Empire Growing        [ÿproductÿdetailsÿ],Preroll 1.0g,5526,2.01,6.58,3.3x,412760
Root Down        [ÿproductÿdetailsÿ],Preroll 1.0g,11658,2.02,5.63,2.8x,412273
Sitka Packaging        [ÿproductÿdetailsÿ],Preroll 1.0g,13278,2.02,6.48,3.2x,412952
Shelby Eckroth        [ÿproductÿdetailsÿ],Flower 1.0g,3579,2.02,5.8,2.9x,416968
Central Business District        [ÿproductÿdetailsÿ],Flower 1.0g,5680,2.02,6.06,3.0x,417097
Landrace        [ÿproductÿdetailsÿ],Flower 1.0g,3974,2.02,7.49,3.7x,419395
Green Zombie        [ÿproductÿdetailsÿ],Preroll 1.0g,2030,2.03,5.22,2.6x,414114
Nettles Unlimited        [ÿproductÿdetailsÿ],Preroll 1.0g,4928,2.04,6.32,3.1x,412762
Binx Buds        [ÿproductÿdetailsÿ],Preroll 1.0g,2587,2.04,7.2,3.5x,425099
Bmf Washington        [ÿproductÿdetailsÿ],Preroll 1.0g,22209,2.05,6.78,3.3x,412149
The Four Twenty Collection        [ÿproductÿdetailsÿ],Flower 1.0g,2928,2.05,5.77,2.8x,413134
Top Shelf        [ÿproductÿdetailsÿ],Preroll 1.0g,29372,2.08,6.74,3.2x,423396
Sugarleaf Farm        [ÿproductÿdetailsÿ],Preroll 1.0g,8150,2.08,6.71,3.2x,423406
Pinoy Inc        [ÿproductÿdetailsÿ],Preroll 2.0g,3814,2.09,8.19,3.9x,424047
Ww Agriculture        [ÿproductÿdetailsÿ],Flower 1.0g,12139,2.09,6.23,3.0x,412242
Central Farms LLC        [ÿproductÿdetailsÿ],Flower 1.0g,12434,2.09,6.66,3.2x,412792
Acme Acres LLC        [ÿproductÿdetailsÿ],Flower 1.0g,8406,2.09,7.65,3.7x,412892
Grow Op Farms        [ÿproductÿdetailsÿ],Preroll 1.0g,479566,2.1,6.63,3.2x,413287
Green & Golden        [ÿproductÿdetailsÿ],Flower 1.0g,2378,2.1,6.63,3.2x,415710
Cowlitz County Cannabis Cultivation        [ÿproductÿdetailsÿ],Flower 1.0g,20230,2.1,7.23,3.4x,416502
Cordus        [ÿproductÿdetailsÿ],Preroll 1.0g,9215,2.11,8.18,3.9x,418921
Medusa Gardens        [ÿproductÿdetailsÿ],Preroll 0.75g,1985,2.12,3.87,1.8x,412294
Jbc Farms        [ÿproductÿdetailsÿ],Flower 1.0g,1475,2.12,7.89,3.7x,412196
Boggy Boon        [ÿproductÿdetailsÿ],Preroll 1.0g,8673,2.13,8.13,3.8x,416935
Emerald City Growers        [ÿproductÿdetailsÿ],Flower 1.0g,5815,2.13,6.92,3.3x,416433
Mas Farms        [ÿproductÿdetailsÿ],Preroll 1.0g,4502,2.14,7.96,3.7x,414232
Golden Tree        [ÿproductÿdetailsÿ],Preroll 1.0g,79335,2.14,7.5,3.5x,416107
Quincy Green        [ÿproductÿdetailsÿ],Preroll 1.0g,2792,2.15,6.93,3.2x,412358
Fourdub        [ÿproductÿdetailsÿ],Preroll 1.0g,14502,2.15,7.46,3.5x,413165
Sativa Group        [ÿproductÿdetailsÿ],Preroll 1.0g,14034,2.15,6.96,3.2x,422627
Gecko Growers        [ÿproductÿdetailsÿ],Flower 1.0g,9205,2.15,6.5,3.0x,412135
Fresh Productions        [ÿproductÿdetailsÿ],Flower 1.0g,5244,2.15,7.8,3.6x,423101
The Calyx Company        [ÿproductÿdetailsÿ],Flower 1.0g,5250,2.16,7.57,3.5x,412688
Pyramid Green Houses        [ÿproductÿdetailsÿ],Flower 1.0g,1108,2.17,8.84,4.1x,412587
Manastash Gardens        [ÿproductÿdetailsÿ],Flower 1.0g,8434,2.19,6.07,2.8x,413123
Walden        [ÿproductÿdetailsÿ],Flower 1.0g,20797,2.19,7.9,3.6x,416445
M And R Distributing        [ÿproductÿdetailsÿ],Preroll 1.0g,2693,2.2,7.03,3.2x,412258
Northwest Recreational        [ÿproductÿdetailsÿ],Flower 1.0g,3051,2.2,8.01,3.6x,412612
Windy River Research        [ÿproductÿdetailsÿ],Preroll 0.5g,3250,2.22,7.44,3.4x,413467
Jbc Grow        [ÿproductÿdetailsÿ],Preroll 1.0g,2974,2.22,7.09,3.2x,413631
Virginia Enterprises        [ÿproductÿdetailsÿ],Flower 1.0g,10600,2.22,7.14,3.2x,416539
Cloud 9 Farms        [ÿproductÿdetailsÿ],Preroll 1.0g,5863,2.23,7.51,3.4x,412704
Royal Tree Gardens        [ÿproductÿdetailsÿ],Preroll 0.75g,7380,2.24,7.45,3.3x,412425
Avitas        [ÿproductÿdetailsÿ],Preroll 0.5g,5216,2.25,6.53,2.9x,412759
Cedar Creek Cannabis        [ÿproductÿdetailsÿ],Preroll 0.5g,5504,2.25,7.24,3.2x,415971
O.b.c. LLC        [ÿproductÿdetailsÿ],Preroll 1.0g,1688,2.25,7.97,3.5x,416544
Fire Four LLC        [ÿproductÿdetailsÿ],Preroll 1.0g,2625,2.25,6.3,2.8x,416795
Thcbd        [ÿproductÿdetailsÿ],Preroll 1.0g,4810,2.27,6.62,2.9x,413131
Kush Farms        [ÿproductÿdetailsÿ],Flower 1.0g,23202,2.28,7.37,3.2x,414287
Sasquatch Greenhouses        [ÿproductÿdetailsÿ],Flower 1.0g,1541,2.3,7.22,3.1x,412208
Silica Phoenix        [ÿproductÿdetailsÿ],Flower 1.0g,4850,2.3,7.84,3.4x,412236
Sitka Packaging        [ÿproductÿdetailsÿ],Flower 1.0g,9041,2.3,7.34,3.2x,412952
Northwest Grown Products        [ÿproductÿdetailsÿ],Preroll 1.0g,10887,2.32,6.89,3.0x,416462
Solar Joes        [ÿproductÿdetailsÿ],Preroll 1.0g,9842,2.33,7.55,3.2x,415819
Dandelion Farms        [ÿproductÿdetailsÿ],Preroll 1.0g,2475,2.34,7.51,3.2x,417155
Omg Sykes        [ÿproductÿdetailsÿ],Preroll 1.0g,18371,2.35,7.09,3.0x,412720
Leef        [ÿproductÿdetailsÿ],Preroll 1.0g,6274,2.36,8.04,3.4x,413085
Doctor And Crook        [ÿproductÿdetailsÿ],Preroll 1.0g,4990,2.36,8.37,3.5x,416831
Gensys One        [ÿproductÿdetailsÿ],Flower 1.0g,1900,2.36,8.93,3.8x,412593
Walden        [ÿproductÿdetailsÿ],Flower 2.0g,1495,2.36,7.47,3.2x,416445
Orgrow        [ÿproductÿdetailsÿ],Flower 1.0g,31417,2.39,8,3.4x,412784
Washington Gold        [ÿproductÿdetailsÿ],Flower 1.0g,1421,2.4,5.05,2.1x,412213
Cmj Growers        [ÿproductÿdetailsÿ],Flower 1.0g,1492,2.4,11.71,4.9x,416055
Kouchlock Productions        [ÿproductÿdetailsÿ],Flower 1.0g,9755,2.41,8.57,3.6x,412630
Green Zombie        [ÿproductÿdetailsÿ],Flower 1.0g,2269,2.41,7.67,3.2x,414114
High Five Farms        [ÿproductÿdetailsÿ],Preroll 1.0g,3900,2.44,8.58,3.5x,416746
Green Haven LLC        [ÿproductÿdetailsÿ],Preroll 1.25g,1100,2.44,9.76,4.0x,421941
Sticky Budz        [ÿproductÿdetailsÿ],Flower 1.0g,26490,2.45,7.84,3.2x,412076
Quality Brand        [ÿproductÿdetailsÿ],Flower 1.0g,28830,2.45,8.25,3.4x,417229
Northwest Finest        [ÿproductÿdetailsÿ],Preroll 1.0g,8125,2.46,8.06,3.3x,416499
Yield Farms        [ÿproductÿdetailsÿ],Flower 1.0g,1851,2.46,7.94,3.2x,412337
Seven Blades Northwest        [ÿproductÿdetailsÿ],Flower 1.0g,2179,2.46,8.01,3.3x,422227
"Pacala,  Inc        [ÿproductÿdetailsÿ]",Preroll 1.0g,7010,2.47,8.56,3.5x,415970
Hannah Industries        [ÿproductÿdetailsÿ],Preroll 0.75g,5860,2.48,7.95,3.2x,424223
The Clone Zone        [ÿproductÿdetailsÿ],Preroll 1.0g,12890,2.48,8.04,3.2x,412598
New Horizon Holdings        [ÿproductÿdetailsÿ],Flower 1.0g,3545,2.49,8.03,3.2x,415752
Blissful Choice        [ÿproductÿdetailsÿ],Preroll 0.5g,1875,2.5,7.42,3.0x,416203
Sky High Gardens        [ÿproductÿdetailsÿ],Preroll 0.5g,7264,2.5,7.38,3.0x,424091
Emerald Evolution        [ÿproductÿdetailsÿ],Preroll 0.75g,2900,2.5,7.58,3.0x,412392
509 Da Kine        [ÿproductÿdetailsÿ],Preroll 1.0g,2200,2.5,9.36,3.7x,412599
Crystal Forest Farms        [ÿproductÿdetailsÿ],Preroll 1.0g,32107,2.5,6.96,2.8x,415694
Dream Catcher        [ÿproductÿdetailsÿ],Preroll 1.0g,1000,2.5,7.26,2.9x,416527
Shelby Eckroth        [ÿproductÿdetailsÿ],Preroll 1.0g,1375,2.5,7.88,3.2x,416968
Fire House Productions        [ÿproductÿdetailsÿ],Preroll 1.0g,3375,2.5,9.75,3.9x,421103
Prince Farms        [ÿproductÿdetailsÿ],Preroll 1.0g,1312,2.5,8.36,3.3x,422368
Tom's Hemp&cannabis        [ÿproductÿdetailsÿ],Preroll 1.5g,1125,2.5,7.25,2.9x,412648
Northwest Harvesting Co        [ÿproductÿdetailsÿ],Flower 1.0g,1125,2.5,7.59,3.0x,412435
Hitz Cannabis        [ÿproductÿdetailsÿ],Flower 1.0g,1568,2.5,7.99,3.2x,412854
Methow Growers        [ÿproductÿdetailsÿ],Flower 1.0g,2775,2.5,9.28,3.7x,412875
Pdt Technologies        [ÿproductÿdetailsÿ],Flower 1.0g,1225,2.5,6.56,2.6x,415707
Curious Crow Cannabis        [ÿproductÿdetailsÿ],Flower 1.0g,12381,2.5,9.72,3.9x,416657
Carson Unlimited        [ÿproductÿdetailsÿ],Flower 1.0g,1000,2.5,9.86,3.9x,420287
Wow Weed        [ÿproductÿdetailsÿ],Infused,2575,2.5,8.74,3.5x,413038
