Business,Category,Wholesale Sales,Avg Wholesale Price,Avg Retail Price With Tax,Avg Markup With Tax,License
Mountain High Organics        [ÿproductÿdetailsÿ],Preroll 1.0g,6818,1.63,6.45,4.0x,412576
Poorman Enterprises        [ÿproductÿdetailsÿ],Preroll 1.0g,7995,1.63,5.11,3.1x,415921
Growing Like a Weed        [ÿproductÿdetailsÿ],Preroll 1.0g,12694,1.64,5.92,3.6x,419128
Windy River Research        [ÿproductÿdetailsÿ],Preroll 0.5g,1132,1.65,6.26,3.8x,413467
Top Shelf        [ÿproductÿdetailsÿ],Preroll 0.75g,18900,1.65,5.76,3.5x,423396
Og Farms        [ÿproductÿdetailsÿ],Preroll 0.5g,5562,1.66,4.66,2.8x,412687
Circanna        [ÿproductÿdetailsÿ],Edible,15558,1.66,5.1,3.1x,413174
Absolute Oils        [ÿproductÿdetailsÿ],Preroll 0.75g,1089,1.67,4.42,2.7x,421839
Root Down        [ÿproductÿdetailsÿ],Preroll 1.0g,6965,1.67,5.86,3.5x,412273
Green Chiefs        [ÿproductÿdetailsÿ],Preroll 1.0g,6040,1.7,6.96,4.1x,412672
Leaph        [ÿproductÿdetailsÿ],Preroll 0.5g,9820,1.71,5.53,3.2x,417010
Klaritie Farms        [ÿproductÿdetailsÿ],Preroll 1.0g,1462,1.71,6.93,4.0x,419959
Doc Croc        [ÿproductÿdetailsÿ],Preroll 1.0g,2647,1.74,6.54,3.8x,413948
Pacific Northwest Growers        [ÿproductÿdetailsÿ],Preroll 0.5g,1942,1.75,4.75,2.7x,412068
Rootworx        [ÿproductÿdetailsÿ],Preroll 0.5g,5338,1.75,5.25,3.0x,413665
Zoobees Doobees        [ÿproductÿdetailsÿ],Preroll 1.0g,1575,1.75,7.11,4.1x,412497
Peak Supply        [ÿproductÿdetailsÿ],Flower 1.0g,8519,1.76,5.83,3.3x,413077
The Calyx Company        [ÿproductÿdetailsÿ],Flower 1.0g,4075,1.77,6.53,3.7x,412688
Ninja Gardens        [ÿproductÿdetailsÿ],Flower 1.0g,18807,1.77,5.45,3.1x,417001
5th House Farms        [ÿproductÿdetailsÿ],Preroll 1.0g,3751,1.78,6.94,3.9x,416057
Khush Kush        [ÿproductÿdetailsÿ],Preroll 0.5g,2288,1.79,5.49,3.1x,413145
Tucker Ranch        [ÿproductÿdetailsÿ],Preroll 0.75g,5194,1.79,5.88,3.3x,415922
Walden Cannabis        [ÿproductÿdetailsÿ],Preroll 1.0g,1385,1.8,5.53,3.1x,412024
Green Labs        [ÿproductÿdetailsÿ],Preroll 1.0g,1364,1.8,7.86,4.4x,413076
Green & Golden        [ÿproductÿdetailsÿ],Preroll 1.0g,3635,1.8,6.38,3.5x,415710
Wildfire Cannabis Company        [ÿproductÿdetailsÿ],Preroll 1.0g,2160,1.8,5.22,2.9x,416902
Gecko Growers        [ÿproductÿdetailsÿ],Flower 1.0g,6160,1.83,5.78,3.2x,412135
Cascade Growers        [ÿproductÿdetailsÿ],Flower 1.0g,2522,1.83,6.06,3.3x,412180
Herban Myth        [ÿproductÿdetailsÿ],Preroll 1.0g,2960,1.85,4.92,2.7x,412123
Kettle River Cannabis Company        [ÿproductÿdetailsÿ],Preroll 1.5g,6082,1.85,5.27,2.9x,416050
Honu Enterprises        [ÿproductÿdetailsÿ],Preroll 1.0g,11669,1.86,6.13,3.3x,412097
Yield Farms        [ÿproductÿdetailsÿ],Preroll 1.0g,8978,1.86,5.81,3.1x,412337
D And S Farms        [ÿproductÿdetailsÿ],Flower 1.0g,7913,1.86,7.45,4.0x,412831
Orange State        [ÿproductÿdetailsÿ],Preroll 1.0g,1171,1.87,5.44,2.9x,412409
Symington Holdings Ii        [ÿproductÿdetailsÿ],Preroll 1.0g,1297,1.87,5.9,3.2x,415777
High State Farms        [ÿproductÿdetailsÿ],Flower 1.0g,2680,1.88,7.51,4.0x,412573
