Business,Category,Wholesale Sales,Avg Wholesale Price,Avg Retail Price With Tax,Avg Markup With Tax,License
Quincy Green        [ÿproductÿdetailsÿ],Preroll 1.0g,2912,1.94,7.39,3.8x,412358
Kettle River Cannabis Company        [ÿproductÿdetailsÿ],Flower 1.0g,4596,1.94,6.78,3.5x,416050
Root Down        [ÿproductÿdetailsÿ],Preroll 1.0g,10858,1.95,6.01,3.1x,412273
Alis Group        [ÿproductÿdetailsÿ],Preroll 1.0g,9450,1.95,6.55,3.3x,415700
Gecko Growers        [ÿproductÿdetailsÿ],Flower 1.0g,11228,1.95,6.68,3.4x,412135
Cowlitz County Cannabis Cultivation        [ÿproductÿdetailsÿ],Flower 1.0g,4129,1.95,7.62,3.9x,416502
Virginia Company        [ÿproductÿdetailsÿ],Preroll 0.75g,6052,1.98,6.72,3.4x,414038
Green Labs        [ÿproductÿdetailsÿ],Preroll 1.0g,5718,1.98,7.55,3.8x,413076
W.o.w. Industries        [ÿproductÿdetailsÿ],Preroll 1.0g,3950,1.98,6.14,3.1x,413922
Pure Green Cross WA        [ÿproductÿdetailsÿ],Flower 1.0g,1565,1.98,7.24,3.7x,412855
Bondi Farms        [ÿproductÿdetailsÿ],Preroll 1.0g,23672,1.99,7.84,3.9x,412141
R&b Group        [ÿproductÿdetailsÿ],Preroll 1.0g,1074,1.99,6.29,3.2x,412615
Canna Organix        [ÿproductÿdetailsÿ],Preroll 0.5g,2946,2,5.73,2.9x,415835
Hypothesis Gardens        [ÿproductÿdetailsÿ],Preroll 0.5g,14042,2,6.32,3.2x,416519
Eagle Tree Farms        [ÿproductÿdetailsÿ],Preroll 0.5g,1650,2,5.99,3.0x,422190
Tropic Grow        [ÿproductÿdetailsÿ],Preroll 0.75g,4384,2,5.87,2.9x,412106
Jet City Gardens        [ÿproductÿdetailsÿ],Preroll 0.75g,2288,2,4.34,2.2x,412639
Northwest Cannabis Solutions        [ÿproductÿdetailsÿ],Preroll 0.75g,4400,2,6.27,3.1x,412882
4evergreen Trees        [ÿproductÿdetailsÿ],Preroll 0.75g,2760,2,5.93,3.0x,413855
Saturn Group        [ÿproductÿdetailsÿ],Preroll 1.0g,25958,2,6.37,3.2x,412112
Kouchlock Productions        [ÿproductÿdetailsÿ],Preroll 1.0g,7194,2,5.86,2.9x,412630
Sitka Packaging        [ÿproductÿdetailsÿ],Preroll 1.0g,4888,2,6.87,3.4x,412952
Growing Like a Weed        [ÿproductÿdetailsÿ],Preroll 1.0g,8740,2,7.08,3.5x,419128
Klaritie Farms        [ÿproductÿdetailsÿ],Preroll 1.0g,3032,2,6.94,3.5x,419959
Pinnacle NW        [ÿproductÿdetailsÿ],Preroll 1.25g,1200,2,6.75,3.4x,422257
Hill Top Growers        [ÿproductÿdetailsÿ],Flower 1.0g,2556,2,4.95,2.5x,412098
D And S Farms        [ÿproductÿdetailsÿ],Flower 1.0g,2134,2,5.92,3.0x,412831
Cs Inc.        [ÿproductÿdetailsÿ],Flower 1.0g,4272,2,6.22,3.1x,412977
Essential Flower        [ÿproductÿdetailsÿ],Flower 1.0g,3458,2,7.53,3.8x,414233
Golden Leaf        [ÿproductÿdetailsÿ],Flower 1.0g,15928,2,6.11,3.1x,416548
Shelby Eckroth        [ÿproductÿdetailsÿ],Flower 1.0g,3597,2,6.11,3.1x,416968
G-7 Grow        [ÿproductÿdetailsÿ],Flower 1.0g,12629,2,6.89,3.4x,417526
